series,m,n,algorithm,seed,elapsed_s,raw_fitness,fitness_display,potency,operativeness,resource_saving,max_k,constraint_satisfied,has_layout,raw_fitness_s0,potency_s0,operativeness_s0,resource_saving_s0,delta_f_vs_s0,delta_p_vs_s0,delta_o_vs_s0,delta_r_vs_s0,brute_force_available,omega_size,delta_f_vs_brute_force
feasible,5,1,NSGA-II,4,2.615594640999916,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,BruteForce,4,0.009432213999389205,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,GA,4,0.5921793300003628,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,HillClimb,4,0.022957172004680615,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,PSO,4,0.9379634159995476,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Random,4,0.12567793099879054,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Greedy,4,0.009028346001286991,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,SA,4,0.187946637001005,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Tabu,4,0.48422054600086994,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,ACO,4,0.7098011080015567,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,NSGA-II,5,2.5236625209945487,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,BruteForce,5,0.008714663999853656,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,GA,5,0.5330108050038689,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,HillClimb,5,0.022795210003096145,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,PSO,5,0.8482435409969185,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
