series,M,N,algorithm,repeats,runs_with_layout,t_cpu_mean_s,t_cpu_std_s,raw_fitness_mean,raw_fitness_std,delta_f_vs_s0_mean,delta_f_vs_s0_std,delta_f_vs_brute_force_mean,delta_f_vs_brute_force_std,brute_force_available,omega_size,constraint_pass_rate
feasible,20,3,Random,10,10,0.5231277150989626,0.034623416684942114,0.0068149242812264145,0.00025656518856072595,0.04254570636555709,0.000256565188560725,,,False,946176,1.0
feasible,20,3,Greedy,10,10,0.26845801989984464,0.02005532291015864,0.007379152395057663,0.0,0.04310993447938834,0.0,,,False,946176,1.0
feasible,20,3,SA,10,10,0.7861462321001454,0.0483521263175904,0.005692302565458645,0.0009953727458815447,0.04142308464978932,0.000995372745881545,,,False,946176,1.0
feasible,20,3,Tabu,10,10,9.31270531140035,0.3994560849325878,0.007379152395057663,0.0,0.04310993447938834,0.0,,,False,946176,1.0
feasible,20,3,ACO,10,10,2.7526202460016065,0.20852105238751226,0.006444899258992463,0.0,0.04217568134332314,0.0,,,False,946176,1.0
feasible,50,6,NSGA-II,10,10,21.18469113589963,1.0512657539461572,-0.016999999997238495,0.012516655570579292,0.3030000000011862,0.012516655570579294,,,False,478117271219208192,0.2
feasible,50,6,BruteForce,10,0,1.820039906306192e-05,1.6351132663121756e-06,,,,,,,False,478117271219208192,
feasible,50,6,GA,10,10,5.954864463501144,0.3285040879221486,7.288537003524816e-12,7.10191353751608e-13,0.3200000000057132,7.101893598867713e-13,,,False,478117271219208192,1.0
feasible,50,6,HillClimb,10,10,3.1746977711998623,1.0535225098734038,-0.00399999999089362,0.006992058987798539,0.3160000000075311,0.00699205898779854,,,False,478117271219208192,0.7
feasible,50,6,PSO,10,10,9.6793011087997,0.5342491148047562,7.569965713063829e-12,9.793584668860585e-13,0.3200000000059947,9.79357417294125e-13,,,False,478117271219208192,1.0
feasible,50,6,Random,10,10,1.3536795075000554,0.11360691787953993,-0.0059999999992521,0.005163977794709832,0.3139999999991726,0.005163977794709823,,,False,478117271219208192,0.4
feasible,50,6,Greedy,10,10,3.052631313200254,0.4023889579980618,8.489472949558005e-12,0.0,0.3200000000069142,0.0,,,False,478117271219208192,1.0
feasible,50,6,SA,10,10,1.9429843458994582,0.14798529313808326,-0.11999999999963581,0.1372750685464127,0.1999999999987889,0.1372750685464127,,,False,478117271219208192,0.1
feasible,50,6,Tabu,10,10,83.13788851339923,2.3050694551307402,9.27878345176053e-12,0.0,0.3200000000077035,0.0,,,False,478117271219208192,1.0
feasible,50,6,ACO,10,10,7.09883611559926,0.44815845318559716,5.740248829060782e-13,3.8609665458359955e-13,0.31999999999899875,3.8609864300174457e-13,,,False,478117271219208192,1.0
feasible,100,12,NSGA-II,10,10,41.249288091500055,1.920748116271153,-0.30700000000000005,0.2589315653904629,0.323,0.25893156539046286,,,False,2182433312535204873061797382324224,0.0
feasible,100,12,BruteForce,10,0,2.812859966070391e-05,3.6171528970929377e-06,,,,,,,False,2182433312535204873061797382324224,
feasible,100,12,GA,10,10,11.703182239898888,0.5326806367260917,-0.002,0.004216370213557839,0.628,0.004216370213557844,,,False,2182433312535204873061797382324224,0.8
feasible,100,12,HillClimb,10,10,14.46654440150014,5.377311430117565,-0.053000000000000005,0.06832113712298542,0.577,0.06832113712298542,,,False,2182433312535204873061797382324224,0.3
feasible,100,12,PSO,10,10,19.162475074100804,0.7811988910261586,1.2713482981965016e-22,1.3556221851556467e-22,0.63,0.0,,,False,2182433312535204873061797382324224,1.0
feasible,100,12,Random,10,10,2.494565780200355,0.11809871867900423,-0.08399999999999999,0.030258148581093915,0.546,0.030258148581093908,,,False,2182433312535204873061797382324224,0.0
feasible,100,12,Greedy,10,10,20.694306451998273,1.0603840951431907,2.6855425557321273e-27,0.0,0.63,0.0,,,False,2182433312535204873061797382324224,1.0
feasible,100,12,SA,10,10,3.75402639039894,0.16987857586717484,-0.556,0.18130391918298708,0.07399999999999998,0.18130391918298708,,,False,2182433312535204873061797382324224,0.0
feasible,100,12,Tabu,10,10,474.103723810301,25.122753238322606,1.4449315351785521e-21,0.0,0.63,0.0,,,False,2182433312535204873061797382324224,1.0
feasible,100,12,ACO,10,10,14.756197334299213,0.6848681361427107,-0.044,0.017126976771553507,0.5860000000000001,0.01712697677155348,,,False,2182433312535204873061797382324224,0.0
infeasible,50,5,NSGA-II,10,10,23.50614572069899,1.1379622062056083,-0.11499999999981048,0.04116363011743315,0.7450000000001382,0.041163630117433146,,,False,43465206474473472,0.0
infeasible,50,5,BruteForce,10,0,2.3634198441868648e-05,7.39541464680377e-06,,,,,,,False,43465206474473472,
infeasible,50,5,GA,10,10,6.638022071801243,0.3439748349886356,-0.0639999999995813,0.009660917830747386,0.7960000000003674,0.00966091783074739,,,False,43465206474473472,0.0
infeasible,50,5,HillClimb,10,10,3.525002377400233,0.45030716974009,-0.08999999999942146,0.023570226039546314,0.7700000000005273,0.023570226039546314,,,False,43465206474473472,0.0
infeasible,50,5,PSO,10,10,10.862912459999643,0.5194943812959868,-0.04999999999970424,1.4484181166508184e-13,0.8100000000002444,1.4483697519395794e-13,,,False,43465206474473472,0.0
infeasible,50,5,Random,10,10,1.4165803553980367,0.07118036810249857,-0.10299999999998517,0.02710063549890531,0.7569999999999635,0.027100635498905314,,,False,43465206474473472,0.0
infeasible,50,5,Greedy,10,10,2.4280613062990595,0.1123671230794744,-0.04999999999999937,0.0,0.8099999999999493,0.0,,,False,43465206474473472,0.0
infeasible,50,5,SA,10,10,2.111740046698833,0.10832385785898141,-0.33899999999996927,0.3729596343961329,0.5209999999999794,0.3729596343961329,,,False,43465206474473472,0.0
infeasible,50,5,Tabu,10,10,79.50005614609908,3.6488625259500513,-0.04999999999942316,0.0,0.8100000000005256,1.1702778228589004e-16,,,False,43465206474473472,0.0
infeasible,50,5,ACO,10,10,7.838621801901172,0.328324952154952,-0.07399999999998148,0.012649110640672456,0.7859999999999672,0.012649110640672466,,,False,43465206474473472,0.0
